iter	Passed	Remaining
940	2229	139
941	2232	137
942	2234	135
943	2236	132
944	2238	130
945	2241	127
946	2243	125
947	2245	123
948	2248	120
949	2250	118
950	2252	116
951	2254	113
952	2257	111
953	2260	108
954	2262	106
955	2265	104
956	2267	101
957	2269	99
958	2271	97
959	2274	94
960	2276	92
961	2279	90
962	2281	87
963	2283	85
964	2285	82
965	2287	80
966	2290	78
967	2292	75
968	2294	73
969	2297	71
970	2299	68
971	2301	66
972	2303	63
973	2306	61
974	2308	59
975	2311	56
976	2313	54
977	2315	52
978	2318	49
979	2320	47
980	2322	44
981	2325	42
982	2327	40
983	2330	37
984	2332	35
985	2335	33
986	2337	30
987	2340	28
988	2342	26
989	2344	23
990	2347	21
991	2350	18
992	2352	16
993	2355	14
994	2357	11
995	2360	9
996	2362	7
997	2364	4
998	2366	2
999	2369	0
